28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
20;21;22;23;23;22;21;20
28;29;30;31;31;30;29;28
24;25;26;27;27;26;25;24
