16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
16;17;18;19;19;18;17;16
12;13;14;15;15;14;13;12
8;9;10;11;11;10;9;8
4;5;6;7;7;6;5;4
