31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
23;22;21;20;20;21;22;23
31;30;29;28;28;29;30;31
27;26;25;24;24;25;26;27
